,,0
MMM,MRK,0.7382196863051648
MSFT,NKE,0.7365730210475457
IBM,UNH,0.7355511373613481
JNJ,TRV,0.735147449825157
HD,PG,0.7332932438556687
KO,MMM,0.7331662173449514
INTC,PG,0.7304254910968444
DD,INTC,0.7154496756827892
JPM,MSFT,0.7142438204678796
MSFT,UNH,0.7108301312000744
KO,NKE,0.7077024259204571
AXP,CAT,0.7051562214178538
DD,MSFT,0.7018360843199689
PG,UNH,0.7004982250111697
DD,GS,0.6999552135191034
DIS,JPM,0.6996546140481693
CSCO,MSFT,0.6988256340745683
T,VZ,0.6967755252352754
CSCO,GS,0.6944758003091036
BA,PFE,0.692609376548235
DD,WMT,0.6916573243348039
GS,KO,0.6838479385443476
IBM,MMM,0.6835155061921344
IBM,PG,0.6831736630240506
CSCO,WMT,0.6823998571728583
DD,JNJ,0.6819417521728918
PG,V,0.6773137192678048
CSCO,KO,0.6738687007667288
AXP,XOM,0.6732477377633082
CVX,V,0.6729729235136198
CSCO,JNJ,0.6722370648008327
HD,MSFT,0.6720662608129558
PFE,V,0.6680157050148146
JPM,MMM,0.6662074196102847
MRK,UNH,0.664221866390115
DIS,KO,0.6634862251645891
DD,JPM,0.662426047707821
JNJ,PG,0.6610865400747072
PFE,UTX,0.659382206406103
GE,XOM,0.659372293708934
CVX,T,0.6586993524382936
JPM,V,0.6559319783248464
CVX,HD,0.6518582458082472
INTC,JPM,0.6507382044593751
INTC,V,0.648598987329437
CSCO,MRK,0.6484998997157688
CVX,NKE,0.6484389145716097
HD,KO,0.6449421672516371
JPM,NKE,0.6434634439554993
KO,UNH,0.642139581891705
DD,KO,0.6380539562047429
HD,JPM,0.634616413334517
CAT,CVX,0.6335856473839946
BA,UTX,0.6286231309801787
JNJ,UNH,0.6278395438026632
DD,PG,0.6258980385449939
KO,MRK,0.6237702312338645
JPM,UNH,0.6236205006531301
CSCO,PG,0.6224333694517274
GS,JNJ,0.6209811468952263
GS,IBM,0.6175946952371324
KO,WMT,0.6162804523435407
JNJ,JPM,0.6161070233478811
MRK,TRV,0.6159137616025655
JNJ,NKE,0.6132283886313367
GS,WMT,0.6128986805489226
PFE,WMT,0.6085574475177902
CSCO,IBM,0.6051873568184473
CVX,PFE,0.6049299009317597
JPM,MRK,0.601572543550819
CVX,UNH,0.6013333216624319
IBM,XOM,0.5894511719811203
DD,IBM,0.5870598456832848
DIS,PG,0.5849394786410581
CVX,WMT,0.5842762447149856
GE,MCD,0.5820791961612279
DIS,WMT,0.5813055846879888
MSFT,V,0.5763951379304911
BA,V,0.5761897114652393
HD,MRK,0.5740594446003161
CVX,GE,0.5738488557926654
HD,JNJ,0.5646478053809928
MRK,V,0.5615322597278228
JPM,TRV,0.5526635428612239
T,XOM,0.5511642762144233
INTC,WMT,0.5486380478308602
BA,HD,0.5467753171295775
AXP,JNJ,0.5431152966076586
JPM,PG,0.5430477540694253
HD,PFE,0.5387582678527422
BA,DD,0.5359310588614824
BA,WMT,0.5351428480933724
GE,T,0.531697480264299
AXP,MRK,0.5290291567042147
DIS,IBM,0.5268705911625985
DD,PFE,0.5261310625585544
MRK,NKE,0.5255095418670584
CVX,DD,0.5251732461590364
BA,MMM,0.5245562078320956
PFE,UNH,0.5214338129795538
MCD,T,0.519771265659684
GS,MRK,0.5180412564185589
MCD,XOM,0.5170004550845864
CAT,IBM,0.5151955457039182
KO,V,0.5147911794695142
CAT,PFE,0.5130488295013894
DD,UTX,0.5128022567775666
JPM,KO,0.5085637772892108
IBM,PFE,0.5025477339897991
CAT,JNJ,0.501703320803886
UTX,V,0.4982041142949191
BA,UNH,0.4941685762130333
CAT,MRK,0.4940940651302551
AXP,JPM,0.4937744211157948
CSCO,JPM,0.4923745770427669
BA,TRV,0.48412996559074606
CVX,MCD,0.4837207264388934
GS,MCD,0.4834796493314348
MSFT,WMT,0.482456657710728
GE,VZ,0.4805661425141438
JNJ,V,0.47765824631576115
MMM,PFE,0.46199981410334817
IBM,INTC,0.45953932717224766
BA,DIS,0.4565997454525961
MRK,PG,0.4562568542124866
AXP,MSFT,0.4511491180234089
CVX,MMM,0.4471755118915104
MMM,UTX,0.4466501523906581
CVX,VZ,0.4437091573445555
NKE,PFE,0.4425773348816844
CVX,TRV,0.44165790235542407
CVX,PG,0.4401337640718285
AXP,GE,0.43720750959840216
JNJ,WMT,0.4342819027098185
CVX,GS,0.4341682895140098
MCD,NKE,0.4332073422035333
CAT,T,0.43111971397078874
MCD,UTX,0.42694198499523905
HD,XOM,0.424637801087591
BA,IBM,0.42334053117754045
IBM,MCD,0.4199883611015558
NKE,XOM,0.4158150720923746
BA,CSCO,0.41149280471935135
DIS,PFE,0.40893734143459676
IBM,T,0.40621641404674197
UTX,WMT,0.4060396709372041
CVX,DIS,0.404395109315875
JPM,WMT,0.4028948162076042
IBM,KO,0.4022411171755027
BA,CAT,0.40175126244332515
HD,MCD,0.3989951595357689
CSCO,CVX,0.3981315200278716
INTC,MCD,0.3901139964582099
DIS,UTX,0.38887757880585977
BA,NKE,0.3880770142541375
CAT,WMT,0.38742021354709094
IBM,MSFT,0.3853068409822507
PFE,TRV,0.3844737933058283
CAT,GE,0.3842688602383413
PFE,XOM,0.3815268070970984
CAT,MSFT,0.37820997586398347
KO,VZ,0.37640370542074963
JPM,PFE,0.3763171806230763
MCD,PG,0.37516205362103316
MRK,WMT,0.3738427678194391
UNH,UTX,0.37315219667090194
CAT,MCD,0.37198987200679473
CSCO,PFE,0.37085431263324947
GE,IBM,0.35935886558300667
BA,CVX,0.35721990604675663
GE,UNH,0.35213680953511073
BA,GS,0.35165601240767697
JNJ,VZ,0.35114633180703253
T,V,0.3503542140637232
CSCO,UTX,0.3396460943167945
UNH,XOM,0.3394763179423325
GS,PFE,0.33562186709856023
PFE,T,0.3309809730444918
GE,HD,0.33074428017285873
WMT,XOM,0.3218773369287966
JNJ,T,0.32176608393565964
AXP,INTC,0.31958590226431444
V,XOM,0.31837332871675444
AXP,KO,0.3148373409172684
MCD,UNH,0.3145802455186087
MRK,UTX,0.3140147619769773
AXP,CVX,0.3112840258699
IBM,JPM,0.31006445189169396
PFE,PG,0.3032630134314444
TRV,UTX,0.30081743686934587
VZ,XOM,0.2994417909009592
CSCO,GE,0.29468392246025016
KO,T,0.2928680196443855
CAT,HD,0.29236520605653565
MCD,MSFT,0.29156015906705535
HD,UTX,0.2869207427701829
JNJ,XOM,0.28501196516641464
MCD,V,0.2821911655644582
AXP,MMM,0.27524783093222843
BA,JPM,0.2748693558995438
IBM,JNJ,0.2733863249473701
UTX,VZ,0.2661969203678705
BA,KO,0.2658160484317986
CVX,JPM,0.2642044926242606
MSFT,VZ,0.2624331504419038
AXP,DIS,0.26075483974668706
GE,NKE,0.25907739071603075
CAT,NKE,0.25402506304250677
HD,T,0.2522068587926121
AXP,MCD,0.2414749386893383
CAT,V,0.240415065525586
CSCO,XOM,0.23736315086391546
CAT,INTC,0.2360713784873257
IBM,MRK,0.23537777320943823
AXP,UTX,0.2339721810035767
GS,XOM,0.23255884812215002
CVX,UTX,0.23173925434000833
MRK,XOM,0.23159677409833174
GE,V,0.23154569061375596
JPM,MCD,0.23052685057903705
CAT,VZ,0.22833184698593642
BA,PG,0.22557133434113846
NKE,T,0.22437852052828663
AXP,DD,0.21827787233458823
INTC,VZ,0.2166970648044134
MCD,WMT,0.21493143656062358
CVX,INTC,0.21332841116266893
GE,INTC,0.21221953139428698
BA,GE,0.21128371899851076
TRV,XOM,0.2096468119453084
PG,XOM,0.20667540097372514
AXP,GS,0.2042915137490301
IBM,UTX,0.20409679233021685
DIS,GE,0.20249045418205827
JPM,UTX,0.20228879570569255
MCD,TRV,0.20096881228958563
MCD,VZ,0.20015827300417824
CAT,KO,0.1972686128096992
T,UNH,0.19506711714168387
DIS,MCD,0.1887842027165487
GS,T,0.18790779566695093
GS,VZ,0.1862449696881497
TRV,VZ,0.18444011795260104
CAT,JPM,0.1815534195736626
CAT,UNH,0.17946477621969334
AXP,V,0.1781859844458406
GE,MRK,0.1755649338028817
AXP,PG,0.1740254783547269
MCD,MMM,0.1737787280092829
DD,GE,0.1695054818308421
CSCO,MCD,0.1656029561486491
BA,MCD,0.16463457439763104
CVX,MSFT,0.16457372712314838
CVX,MRK,0.16108212024211577
GE,WMT,0.15927585615954246
GE,TRV,0.15884195872267803
AXP,T,0.1538679961861653
DD,XOM,0.14682736736604524
AXP,VZ,0.14610036129960977
CAT,PG,0.1421872597255972
AXP,IBM,0.13378211831598272
CSCO,VZ,0.13369009085055872
MRK,PFE,0.13294104554442182
PFE,VZ,0.13099153649658693
BA,VZ,0.12741217554237091
JPM,VZ,0.12567140945248312
JPM,T,0.12554551064925987
BA,XOM,0.12538122175974714
T,UTX,0.12409900412157536
MSFT,T,0.12143337639615498
AXP,TRV,0.1204715399647941
NKE,UTX,0.12029919020277959
BA,INTC,0.12020956600006165
CAT,DIS,0.1201869101104709
GE,MMM,0.11993703080892355
GE,UTX,0.11701552554472705
CAT,GS,0.11553857689018238
PG,VZ,0.11535975573867938
UTX,XOM,0.11378829952180583
KO,XOM,0.11203266462158529
GE,JNJ,0.11151192077218788
GE,GS,0.11144893399414861
MSFT,XOM,0.1082862779326235
CVX,KO,0.10536712265529644
CAT,TRV,0.10490729973824293
DD,T,0.10486937174757725
AXP,BA,0.10403105333228954
DIS,VZ,0.10295955114135585
GE,JPM,0.10106004324141103
T,WMT,0.09845034492297725
JNJ,UTX,0.0972728456604772
BA,MRK,0.09640523627187707
IBM,VZ,0.0939411578625426
DIS,T,0.09364604618409647
NKE,VZ,0.09330921749122811
MCD,MRK,0.09326221994541574
MMM,VZ,0.09323179776011649
BA,JNJ,0.0927986062178596
KO,MCD,0.0920471830674367
V,VZ,0.09104170999016677
GE,KO,0.08636336003787949
MMM,XOM,0.08532512706631913
GE,PFE,0.08179245682566842
INTC,PFE,0.0812886026488953
AXP,PFE,0.07967532707106792
DD,MCD,0.07839776558414203
GE,PG,0.0783704494896184
GE,MSFT,0.07490510089782734
DIS,XOM,0.07309188450416466
KO,PFE,0.07108100271712013
AXP,CSCO,0.06511135765678447
MMM,T,0.06446864541999328
AXP,NKE,0.0635567003460001
BA,T,0.05572067422796506
PG,UTX,0.05402391601792265
VZ,WMT,0.052370136843648114
JPM,XOM,0.047063887332103434
AXP,HD,0.04525435122512832
INTC,T,0.043624264735432086
MSFT,PFE,0.04221475263846814
CAT,CSCO,0.03916045990302997
MCD,PFE,0.03756120747509917
KO,UTX,0.03460319963665438
MRK,T,0.03370112128021912
AXP,UNH,0.033270327960935396
CAT,UTX,0.03095759857363603
GS,UTX,0.027456118769565226
HD,VZ,0.026475649005028353
BA,MSFT,0.023998680362456313
CSCO,T,0.020915748155581223
MSFT,UTX,0.01876448196250989
CVX,JNJ,0.0174400551710265
JNJ,PFE,0.016365812860566948
MRK,VZ,0.014419430584752316
DD,VZ,0.010081303301321506
UNH,VZ,0.009187140762248849
PG,T,0.007952686672981765
INTC,UTX,0.007503424945265069
CAT,MMM,0.006928982395221406
CAT,DD,0.006702633907320946
JNJ,MCD,0.005216999982827911
AXP,WMT,0.004398782676143784
T,TRV,0.0023497316762253416
INTC,XOM,0.0018041145581343815
